IDUsuario;RetiroDT;RetiroEstacion;AnclajeDT;AnclajeEstacion
88412;2016-09-30 23:50:26.063;98;2016-10-01 00:01:16.000;7
79884;2016-09-30 23:57:42.193;57;2016-10-01 00:02:15.000;16
74089;2016-09-30 23:59:07.477;61;2016-10-01 00:02:43.000;61
88192;2016-10-01 00:00:17.603;6;2016-10-01 00:04:46.000;55
53535;2016-09-30 23:55:36.257;39;2016-10-01 00:07:15.593;52
68977;2016-10-01 00:03:54.763;93;2016-10-01 00:09:32.617;99
89736;2016-10-01 00:06:08.483;39;2016-10-01 00:12:10.227;102
82747;2016-10-01 00:07:57.827;67;2016-10-01 00:12:43.000;73
82664;2016-09-30 23:58:44.210;66;2016-10-01 00:13:51.547;11
16869;2016-10-01 00:05:29.607;30;2016-10-01 00:14:56.000;32
84318;2016-09-30 23:56:34.320;59;2016-10-01 00:16:12.000;48
75537;2016-10-01 00:11:31.330;12;2016-10-01 00:17:47.000;65
339;2016-10-01 00:06:20.827;91;2016-10-01 00:18:53.000;34
83450;2016-10-01 00:07:27.077;20;2016-10-01 00:19:34.000;66
86837;2016-10-01 00:16:08.413;76;2016-10-01 00:20:45.000;57
57365;2016-10-01 00:03:12.997;115;2016-10-01 00:24:20.000;16
87073;2016-10-01 00:09:47.033;39;2016-10-01 00:25:01.713;91
88070;2016-10-01 00:18:20.243;57;2016-10-01 00:25:38.000;78
88231;2016-09-30 23:53:25.630;43;2016-10-01 00:28:57.000;9
47889;2016-10-01 00:25:59.403;48;2016-10-01 00:32:35.000;31
41567;2016-10-01 00:24:11.247;65;2016-10-01 00:35:29.000;59
88813;2016-10-01 00:30:09.907;62;2016-10-01 00:36:29.000;79
51678;2016-10-01 00:14:59.753;24;2016-10-01 00:38:05.000;53
86377;2016-10-01 00:31:34.377;45;2016-10-01 00:39:09.200;52
3421;2016-10-01 00:33:45.130;48;2016-10-01 00:40:27.000;16
29938;2016-10-01 00:25:38.340;24;2016-10-01 00:41:37.000;44
74829;2016-10-01 00:40:19.367;80;2016-10-01 00:43:31.000;81
89931;2016-10-01 00:37:53.350;16;2016-10-01 00:44:54.480;93
15872;2016-10-01 00:30:45.720;3;2016-10-01 00:45:45.000;54
38988;2016-10-01 00:36:40.067;16;2016-10-01 00:46:14.000;90
70094;2016-10-01 00:32:48.550;119;2016-10-01 00:49:20.000;97
80380;2016-10-01 00:31:42.987;17;2016-10-01 00:51:33.197;113
9093;2016-10-01 00:40:25.603;126;2016-10-01 00:55:03.000;3
33047;2016-10-01 00:44:27.560;84;2016-10-01 00:56:11.000;66
67906;2016-10-01 00:52:04.003;4;2016-10-01 00:57:25.000;10
63586;2016-10-01 00:48:52.530;49;2016-10-01 00:58:48.473;13
84084;2016-10-01 00:52:58.830;9;2016-10-01 01:01:04.000;31
72964;2016-10-01 00:53:45.457;30;2016-10-01 01:02:29.000;3
79098;2016-10-01 00:45:19.747;67;2016-10-01 01:03:22.137;43
73649;2016-10-01 00:41:50.150;60;2016-10-01 01:05:25.000;28
88780;2016-10-01 00:59:41.243;58;2016-10-01 01:07:00.000;9
83277;2016-10-01 00:49:56.593;84;2016-10-01 01:08:48.000;10
87024;2016-10-01 00:57:29.303;86;2016-10-01 01:10:37.427;103
86502;2016-10-01 00:53:57.050;9;2016-10-01 01:12:12.033;2
29364;2016-10-01 00:54:33.800;126;2016-10-01 01:13:26.000;10
78772;2016-10-01 00:57:32.163;10;2016-10-01 01:17:45.000;73
64949;2016-10-01 00:36:57.053;41;2016-10-01 01:33:36.573;107
6039;2016-10-01 08:02:19.870;49;2016-10-01 08:05:43.850;46
75273;2016-10-01 08:00:27.400;123;2016-10-01 08:08:57.000;45
85263;2016-10-01 08:04:16.200;87;2016-10-01 08:13:50.227;72
88018;2016-10-01 08:03:05.230;53;2016-10-01 08:15:12.000;16
23980;2016-10-01 08:02:45.510;31;2016-10-01 08:16:18.000;68
